time,frequency,confidence
4.520,55.333,0.840
4.530,55.333,0.838
4.540,55.333,0.831
4.550,55.333,0.818
4.560,55.333,0.797
4.570,55.333,0.765
4.580,55.667,0.725
4.590,55.667,0.716
4.600,55.667,0.700
4.610,56.000,0.678
4.620,56.000,0.663
4.630,56.333,0.681
4.640,56.333,0.695
4.650,56.667,0.723
4.660,56.667,0.745
4.670,56.667,0.761
4.680,56.667,0.771
4.690,56.667,0.775
4.700,56.667,0.773
4.710,56.667,0.768
4.720,57.000,0.762
4.730,57.000,0.756
4.740,56.667,0.751
4.750,57.000,0.749
4.760,57.000,0.747
4.770,56.667,0.747
4.780,56.667,0.747
4.790,56.667,0.748
4.800,56.667,0.748
4.810,56.667,0.747
4.820,56.667,0.746
4.830,56.667,0.744
4.840,56.667,0.741
4.850,56.667,0.738
4.860,56.667,0.735
4.870,56.667,0.732
4.880,56.667,0.728
4.890,56.667,0.725
4.900,56.667,0.721
4.910,56.667,0.717
4.920,56.667,0.712
4.930,56.667,0.705
4.940,56.667,0.698
4.950,56.667,0.690
4.960,56.667,0.682
4.970,56.333,0.674
4.980,56.667,0.668
4.990,56.333,0.665
5.000,56.333,0.665
5.010,56.667,0.666
5.020,56.667,0.668
5.030,56.667,0.670
5.040,56.667,0.669
5.050,56.667,0.664
5.060,56.667,0.655
5.070,56.667,0.641
5.080,57.000,0.633
5.090,57.000,0.649
5.100,57.000,0.660
5.110,57.000,0.666
5.120,57.000,0.669
5.130,57.000,0.669
5.140,57.000,0.666
5.150,57.000,0.662
5.160,57.000,0.657
5.170,57.000,0.650
5.180,57.000,0.642
5.190,57.000,0.632
5.200,57.000,0.622
5.210,57.000,0.611
5.220,57.000,0.600
5.230,56.667,0.591
5.240,56.667,0.583
5.250,56.667,0.578
5.260,57.000,0.577
5.270,57.000,0.577
5.280,57.000,0.579
5.290,57.000,0.581
5.300,57.000,0.583
5.310,57.000,0.584
5.320,57.000,0.585
5.330,57.000,0.584
5.340,57.000,0.582
5.350,57.000,0.580
5.360,57.000,0.578
5.370,57.000,0.575
5.380,57.000,0.572
5.390,57.000,0.570
5.400,57.000,0.567
5.410,57.000,0.564
5.420,57.000,0.561
5.430,57.000,0.557
5.440,57.000,0.553
5.450,57.000,0.550
5.460,57.000,0.545
5.470,57.000,0.541
5.480,57.000,0.536
5.490,57.000,0.531
5.500,57.000,0.524
5.510,57.000,0.516
5.520,57.000,0.505
5.530,57.000,0.491
5.540,57.000,0.472
5.550,57.333,0.468
5.560,57.333,0.471
5.570,57.000,0.470
5.580,57.333,0.463
5.590,57.333,0.451
5.600,57.333,0.435
5.610,57.333,0.414
5.620,57.333,0.389
5.630,57.333,0.361
5.640,57.333,0.343
5.650,57.333,0.320
5.660,34.333,0.290
5.670,57.333,0.255
5.680,34.333,0.214
5.690,34.333,0.182
5.700,34.667,0.174
5.710,34.667,0.166
5.720,34.667,0.159
5.730,34.333,0.151
5.740,34.333,0.144
